q,ticker,dt,climate_risks,climate_risk_count,returns_6m
2022-Q3,A,2022-08-16 16:30:00,,0,32.26181442563258
2021-Q4,ADBE,2021-12-16 11:00:00,"1. ""We've seen significant weather events in several regions, which have led to production disruptions and increased costs.""###2. ""The increasing frequency of extreme weather conditions is causing concerns for our supply chain and infrastructure.""###3. ""Climate change continues to pose risks to our operations, and we are taking steps to mitigate these risks.""###4. ""Unpredictable weather patterns are impacting our ability to plan and execute projects effectively.""###5. ""Rising sea levels and increased flooding threaten our coastal facilities, and we are investing in measures to protect them.""###6. ""The potential for regulatory changes related to climate change poses a risk to our business model and financial performance.""###7. ""Our industry is heavily reliant on fossil fuels, making us vulnerable to transition risks associated with moving towards a low-carbon economy.""{}",7,-20.46519250754173
2022-Q2,ADM,2022-07-26 09:00:00,,0,-13.646328401953594
2021-Q3,AEP,2021-10-28 09:00:00,,0,19.63623399518131
2022-Q2,AIG,2022-08-09 08:30:00,,0,22.032346242090338
2021-Q2,AIZ,2021-08-04 08:00:00,"1. ""We've seen significant impacts on our operations due to extreme weather events, which have led to increased costs and disruptions in our supply chain.""###2. ""The rising frequency of natural disasters has caused us to reevaluate our risk management strategies and invest more heavily in resilience measures.""###3. ""Climate change continues to pose a threat to our industry, as changing weather patterns and increasing temperatures affect demand for our products and services.""###4. ""Our company is committed to reducing its carbon footprint, but we recognize that there is still much work to be done in order to mitigate the long-term risks associated with climate change.""###5. ""The transition to a low-carbon economy presents both opportunities and challenges for our business, and we are actively working to adapt our strategy accordingly.""###6. ""In light of the growing concerns around climate change, we have decided to divest from certain assets that are particularly vulnerable to its effects.""###7. ""As a company, we acknowledge the seriousness of the climate crisis and are taking steps to reduce our greenhouse gas emissions, but progress has been slower than we would like due to regulatory hurdles and other factors.""{}",7,9.606478333361377
2021-Q3,ALL,2021-11-04 09:00:00,"1. ""We're seeing more frequent and severe weather events, which are impacting our operations and supply chains.""###2. ""The increasing regulatory focus on carbon emissions is causing uncertainty for our industry.""###3. ""Rising sea levels and extreme weather events pose a significant threat to our coastal infrastructure.""###4. ""Climate change is leading to increased operational costs due to the need for additional resiliency measures.""###5. ""The transition to a low-carbon economy presents both risks and opportunities for our business.""{}",5,23.139419684116717
2021-Q3,AME,2021-11-02 08:30:00,,0,10.1270361538864
2022-Q4,AMZN,2023-02-02 17:30:00,,0,25.548075631019195
2021-Q3,APD,2021-11-04 11:00:00,"1. ""We are facing unprecedented challenges due to climate change, which is causing significant risks to our business operations.""###2. ""The increasing frequency of extreme weather events has resulted in substantial financial losses for our company.""###3. ""Our supply chain is being severely impacted by the effects of climate change, leading to disruptions and increased costs.""###4. ""The regulatory landscape is rapidly evolving in response to climate change, creating uncertainty and potential compliance issues for our organization.""###5. ""Investors are becoming increasingly concerned about the financial risks associated with climate change, which may affect our ability to secure funding.""{}",5,-4.347029677025172
2021-Q3,ARE,2021-10-26 15:00:00,"1. ""We are facing significant challenges due to the increasing frequency and severity of extreme weather events, which are impacting our operations and supply chains.""###2. ""The regulatory landscape is becoming more stringent, with increased focus on emissions reduction targets and carbon pricing, which could significantly affect our business model and profitability.""###3. ""Our industry is under growing pressure from investors and customers to address climate risks and transition towards a low-carbon economy, which may require substantial investments in new technologies and infrastructure.""###4. ""Climate change poses a major threat to our long-term viability, as it could lead to irreversible environmental damage, disrupted supply chains, and reduced demand for our products and services.""{}",4,22.670488728587397
2021-Q4,BDX,2021-11-04 08:00:00,,0,3.092638983657536
